Timestamp,Latitude,Longitude,Altitude (m),Speed (km/h)
2024-11-01 00:00:00,37.7749,-122.4194,15,12.5
2024-11-01 00:01:00,37.7750,-122.4189,16,13.2
2024-11-01 00:02:00,37.7752,-122.4184,17,14.0
2024-11-01 00:03:00,37.7753,-122.4179,18,15.1
2024-11-01 00:04:00,37.7755,-122.4174,19,14.8
2024-11-01 00:05:00,37.7757,-122.4169,20,14.5
2024-11-01 00:06:00,37.7759,-122.4164,21,14.3
2024-11-01 00:07:00,37.7760,-122.4159,22,14.1
2024-11-01 00:08:00,37.7762,-122.4154,23,13.8
2024-11-01 00:09:00,37.7763,-122.4149,24,13.6
2024-11-01 00:10:00,37.7765,-122.4144,25,13.4
2024-11-01 00:11:00,37.7767,-122.4139,26,13.3
2024-11-01 00:12:00,37.7769,-122.4134,27,13.1
2024-11-01 00:13:00,37.7770,-122.4129,28,12.9
2024-11-01 00:14:00,37.7772,-122.4124,29,12.7
2024-11-01 00:15:00,37.7773,-122.4119,30,12.5
2024-11-01 00:16:00,37.7775,-122.4114,31,12.3
2024-11-01 00:17:00,37.7777,-122.4109,32,12.1
2024-11-01 00:18:00,37.7778,-122.4104,33,11.9
2024-11-01 00:19:00,37.7780,-122.4099,34,11.8
2024-11-01 00:20:00,37.7782,-122.4094,35,11.7
2024-11-01 00:21:00,37.7783,-122.4089,36,11.6
2024-11-01 00:22:00,37.7785,-122.4084,37,11.5
2024-11-01 00:23:00,37.7787,-122.4079,38,11.3
2024-11-01 00:24:00,37.7788,-122.4074,39,11.2
2024-11-01 00:25:00,37.7790,-122.4069,40,11.1
2024-11-01 00:26:00,37.7792,-122.4064,41,10.9
2024-11-01 00:27:00,37.7793,-122.4059,42,10.8
2024-11-01 00:28:00,37.7795,-122.4054,43,10.7
2024-11-01 00:29:00,37.7797,-122.4049,44,10.6
2024-11-01 00:30:00,37.7798,-122.4044,45,10.5
2024-11-01 00:31:00,37.7800,-122.4039,46,10.4
2024-11-01 00:32:00,37.7801,-122.4034,47,10.3
2024-11-01 00:33:00,37.7803,-122.4029,48,10.2
2024-11-01 00:34:00,37.7805,-122.4024,49,10.1
2024-11-01 00:35:00,37.7807,-122.4019,50,10.0
2024-11-01 00:36:00,37.7808,-122.4014,51,9.8
2024-11-01 00:37:00,37.7810,-122.4009,52,9.7
2024-11-01 00:38:00,37.7812,-122.4004,53,9.6
2024-11-01 00:39:00,37.7813,-122.3999,54,9.5
2024-11-01 00:40:00,37.7815,-122.3994,55,9.4
2024-11-01 00:41:00,37.7817,-122.3989,56,9.3
2024-11-01 00:42:00,37.7818,-122.3984,57,9.2
2024-11-01 00:43:00,37.7820,-122.3979,58,9.1
2024-11-01 00:44:00,37.7822,-122.3974,59,9.0
2024-11-01 00:45:00,37.7823,-122.3969,60,8.9
2024-11-01 00:46:00,37.7825,-122.3964,61,8.8
2024-11-01 00:47:00,37.7827,-122.3959,62,8.7
2024-11-01 00:48:00,37.7828,-122.3954,63,8.6
2024-11-01 00:49:00,37.7830,-122.3949,64,8.5
